Action,Taps,% of Total Taps
Rate (Core Capability Affiliate Breakfast session) - 5 stars,1,0.01
Rate (Breakfast (on-day arrival group)) - 4 stars,1,0.01
Rate (Breakfast) - 3 stars,1,0.01
Rate (Arrival airport transfer) - 5 stars,1,0.01
Rate (AP HR Partner Meeting ) - 5 stars,1,0.01
Rate (Account Planning sessions (Lunch) - by Invite) - 5 stars,1,0.01
Item (Capability Product Trade Show (MUST READ)),1,0.01
Item (Buffet lunch for on-day arrivals),1,0.01
Item (Arrival airport transfer),1,0.01
Global Search (Gunj),1,0.01
Comment - Submit,1,0.01
Check-In (Welcome Dinner),1,0.01
Check-In (Macro Panel (Optional)),1,0.01
Check-In (Group Cocktail reception),1,0.01
Check-In (Digital (Elizabeth)),1,0.01
Check-In (Core Capability Affiliate Breakfast session),1,0.01
Check-In (Cocktail Reception & Practice Dinner),1,0.01
Check-In (Breakfast (on-day arrival group)),1,0.01
Check-In (Breakfast ),1,0.01
Bookmark Item - On (OPRAH Dinner (by invite)),1,0.01
Bookmark Item - On (Digital (Elizabeth)),1,0.01
Bookmark Item - On (Arrival airport transfer),1,0.01
Bookmark Item - On (AP HR Partner Meeting ),1,0.01
Bookmark Item - On (APAC Tiger Team Meeting (by invite)),1,0.01
Bookmark Item - On (Account Planning sessions (Lunch) - by Invite),1,0.01
Bookmark Item - Off (Welcome Dinner),1,0.01
Bookmark Item - Off ('Top 10 Survival Tips at Bain  (Jimmy Allen)'),1,0.01
Bookmark Item - Off (PPK Cocktail Reception),1,0.01
Bookmark Item - Off (OPRAH Dinner (by invite)),1,0.01
Bookmark Item - Off (Macro Panel (Optional)),1,0.01
Bookmark Item - Off (Lunch (on-day arrival group)),1,0.01
Bookmark Item - Off (Group Cocktail reception),1,0.01
Bookmark Item - Off (AP HR Partner Meeting ),1,0.01
Bookmark Item - Off (APAC Tiger Team Meeting (by invite)),1,0.01
Bookmark Item - Off (Account Planning Session (by invite): Coke - Kenji Govaers),1,0.01
