Week Of,Application ID,Event Name,Event Start Date,Event End Date,Event Type,Event Reg Type,Active Users
2016-01-11,A8061738-6062-4BE9-9B82-60C409156DF2,2015 Annual Achievers Conference,2016-01-17,2016-01-23,Corporate Internal,Closed Reg Event,264
2016-01-11,EF27FAC4-ADCB-4CED-AADA-9E98C3FA7E1B,2015 Conférence Annuelle Excellence,2016-01-17,2016-01-23,Corporate Internal,Closed Reg Event,46
2016-01-11,029CE550-E50D-4C57-803B-7E11DEB9AB27,2016 Annual Meeting,2016-01-14,2016-01-16,Conference (>2:1 session:exhibitor ratio),Open Reg Event,182
2016-01-11,AE7F1C25-2707-4217-8D13-3C8EA16D8528,2016 Consumer and Commercial Banking Summit,2016-01-13,2016-01-15,Corporate Internal,Closed Reg Event,238
2016-01-11,75C3F84E-FDC8-49FB-AE00-8A09283D67D0,2016 DM Leadership Summit,2016-01-11,2016-01-13,Corporate Internal,Closed Reg Event,77
2016-01-11,782A9474-D4FC-41E8-AFC8-5DCB4B9979EE,2016 LexisNexis Insurance Sales Meeting,2016-01-11,2016-01-14,Corporate Internal,Closed Reg Event,97
2016-01-11,334D79CD-E932-4B8B-BA08-A315D6B55057,2016 State of the Art Winter Symposium,2016-01-14,2016-01-17,Corporate Internal,Open Reg Event,222
2016-01-11,132848C2-4297-4D8F-8EB1-EDF7B8C8DEA8,2016 SYF National Sales Meeting,2016-01-12,2016-01-14,Corporate Internal,Closed Reg Event,555
2016-01-11,2F840EE7-770E-407B-A5CC-B1A2B891F968,2016 TF Equity Trading Summit,2016-01-13,2016-01-14,_Unknown,Closed Reg Event,133
2016-01-11,354CB1AC-E459-4C3E-BD9C-9C1F4B3D5898,2016 TF FX Trading Summit,2016-01-14,2016-01-15,Corporate External,Closed Reg Event,77
2016-01-11,2B317E08-1D6A-40C7-9139-9BC8FE039A56,2016 TF Winter Workshop,2016-01-13,2016-01-14,Corporate External,Closed Reg Event,69
2016-01-11,8AAB1A1A-734A-487D-BB60-DC81FC458267,2016 Western Regional Meeting,2016-01-15,2016-01-16,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,33
2016-01-11,CF41480E-047A-4FEF-947D-41B294A72AEA,2016 Winter Leadership Conference,2016-01-14,2016-01-16,Corporate Internal,Closed Reg Event,377
2016-01-11,185624C4-D8BD-428C-841E-29B1AA4C9B81,2016 Year-Start Meetings,2016-01-11,2016-01-15,Corporate Internal,Closed Reg Event,504
2016-01-11,8C6C963D-0F5D-4A18-B2ED-081A8A4B7014,ACR-RBMA Forum 2016,2016-01-15,2016-01-17,Corporate Internal,Closed Reg Event,182
2016-01-11,6896E530-9F5F-46D3-AEA9-E437341D3A98,ADSC,2016-01-12,2016-01-15,Conference (>2:1 session:exhibitor ratio),Open Reg Event,47
2016-01-11,D8660DEC-EEA4-45D8-9163-834C9B2ABF7B,AT&T Summit,2016-01-11,2016-01-13,Corporate Internal,Closed Reg Event,42
2016-01-11,462C7E7C-D114-47FC-9E86-306CAE0BDE36,Beyond Security,2016-01-11,2016-01-12,Corporate External,Closed Reg Event,24
2016-01-11,E01DEF6B-BBAA-4100-9428-C8D70AB25EB6,Buffalo Partners Verbier Trip,2016-01-13,2016-01-17,Corporate Internal,Closed Reg Event,20
2016-01-11,1537429C-5F6F-46C3-A0CD-1442EE1E4708,CDCA 2016 Annual Meeting,2016-01-13,2016-01-16,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,339
2016-01-11,06C5828F-375B-433C-A1A0-AA2703E1FEB9,Cetera CA Connect 2016,2016-01-11,2016-01-14,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,334
2016-01-11,2FA5B40B-83F8-4C92-B375-68691978A36A,Cox Automotive Sales Summit 2016,2016-01-11,2016-01-15,Corporate Internal,Closed Reg Event,1590
2016-01-11,2B022E85-703F-44E3-AF82-C3933AC387BD,FDP/ADP Finance Leadership Conference,2016-01-11,2016-01-13,Corporate Internal,Closed Reg Event,25
2016-01-11,FD152C02-844D-48B7-AB38-8F9A07FA37C9,Find and Flip Summit,2016-01-15,2016-01-17,Corporate Internal,Closed Reg Event,103
2016-01-11,D160E1A7-55CC-4A76-AFFF-B3D41EF0264D,FOG Design+Art 2016,2016-01-13,2016-01-17,Expo (<2:1 session:exhibitor ratio),Open Reg Event,65
2016-01-11,FF8F7DFE-B602-4A90-8AF0-8EFD9784F0B1,Genesys Sales Kickoff 2016,2016-01-16,2016-01-22,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,809
2016-01-11,B8D435B5-EC68-4A22-A7D3-6E563747CED8,Global Aftermarket Solutions Division,2016-01-11,2016-01-14,Corporate Internal,Closed Reg Event,76
2016-01-11,9CCC20A8-AC73-4EFB-A3BA-660AE62AA74F,Global Innovation Summit,2016-01-14,2016-01-14,_Unknown,Closed Reg Event,97
2016-01-11,8F4B330E-B0E8-419E-9F7E-B8DFD1BB0E3A,HCB SKO 2016,2016-01-17,2016-01-20,Corporate Internal,Closed Reg Event,153
2016-01-11,8C921E03-2DF7-4DFA-ACB4-0B3CFA13A845,Indy Celebration 2016,2016-01-16,2016-01-21,Corporate Internal,Closed Reg Event,760
2016-01-11,99102FF9-FF25-4BC9-8EAC-BE7C4CBEE90A,International Banking Investor Day,2016-01-17,2016-01-19,Corporate Internal,Closed Reg Event,67
2016-01-11,B1CE64FD-DBA5-4193-B5E7-A323AF91C6F3,Jump Start 1/11/16,2016-01-11,2016-01-11,Corporate Internal,Closed Reg Event,61
2016-01-11,9D1CDC80-C0D4-4DF8-8C5E-B71E3C2CE08F,Jump Start 1/12/16,2016-01-12,2016-01-12,Corporate Internal,Closed Reg Event,53
2016-01-11,F855BB44-F384-4160-B242-14DBA711F868,MAFSI Conference Repnology and SMF,2016-01-13,2016-01-16,Corporate Internal,Closed Reg Event,368
2016-01-11,73F97B90-3050-463C-BDF2-96DE1A91ED39,Manulife Asia Leadership Conference,2016-01-17,2016-01-19,Corporate Internal,Closed Reg Event,193
2016-01-11,800AE80D-C1B2-4F4D-9387-0A7087F7CE37,Murphy USA 2016 National Manager Meeting/Expo,2016-01-17,2016-01-20,Corporate Internal,Closed Reg Event,879
2016-01-11,059FCBD8-AB3B-45D2-9EFD-CF0B58CD5BA9,NAVEX Global 2016 Global Sales Meeting,2016-01-11,2016-01-13,Corporate Internal,Closed Reg Event,144
2016-01-11,D431AE1A-810C-49A9-9169-DDC67AA8F050,New Lawyer Academy,2016-01-14,2016-01-17,_Unknown,Closed Reg Event,68
2016-01-11,D984A8E9-2989-4B65-8060-0B396D982AB0,NFLPA Collegiate Bowl 2016,2016-01-17,2016-01-24,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,177
2016-01-11,B22B1DF8-E4E1-474A-8B4B-449EF7C294C5,Nielsen Global Leadership Meeting,2016-01-12,2016-01-14,Corporate Internal,Closed Reg Event,266
2016-01-11,FE519502-8170-49F7-BABE-0E97D879E12F,NSM 2016,2016-01-11,2016-01-15,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,589
2016-01-11,67C13CB3-BC4F-46F2-A152-94FA1BE81DFC,Oncology National POA,2016-01-11,2016-01-15,Corporate Internal,Closed Reg Event,731
2016-01-11,3A54F30A-E1C9-4C89-AF6D-E99D5FB9770F,Participant Engagement Team Winter Meeting,2016-01-11,2016-01-13,Corporate Internal,Closed Reg Event,272
2016-01-11,63E461EB-F6E2-4115-B0AE-5006CCED93D5,Participant Outcomes & Financial Wellness Summit,2016-01-14,2016-01-16,Corporate Internal,Closed Reg Event,108
2016-01-11,3752B6F8-5716-49C9-963A-1ED711C7491C,PNB January 2016 Leadership Meeting,2016-01-12,2016-01-13,Corporate Internal,Closed Reg Event,195
2016-01-11,6E39B57D-C76B-48D0-BF70-53E085D0D595,Siemens Converge AP Executive Partner Forum,2016-01-11,2016-01-14,_Unknown,Closed Reg Event,108
2016-01-11,D1B350D8-5622-4FE3-A072-271A9743DE75,Simply Possible: The Sequel,2016-01-12,2016-01-16,Corporate Internal,Closed Reg Event,707
2016-01-11,CB254E4A-77CD-4FE7-9176-6D1744111F70,Solutions 2016: Real Green Systems Users Conf,2016-01-12,2016-01-15,Corporate Internal,Closed Reg Event,398
2016-01-11,CCE82DBF-3B38-4AE1-AC35-D4FC9DEF8301,Talend Kick Off,2016-01-11,2016-01-14,Corporate Internal,Closed Reg Event,317
2016-01-11,294B2851-7CD6-4A0B-80DA-10E112FF5244,The Gamechangers - Regulation,2016-01-13,2016-01-13,Corporate External,Closed Reg Event,59
2016-01-11,ACDE8207-511E-48E7-9F3C-27E717E959D5,Visionaries Connected,2016-01-15,2016-01-16,Conference (>2:1 session:exhibitor ratio),Open Reg Event,82
2016-01-11,A1A161AF-06DD-4005-AA28-0FF709401922,VZ Great Lakes KO Detroit AM,2016-01-14,2016-01-15,Corporate Internal,Closed Reg Event,271
2016-01-11,79A93370-1F56-4F18-B960-77AF1FA6D063,VZ Great Lakes KO Detroit PM,2016-01-14,2016-01-15,Corporate Internal,Closed Reg Event,287
2016-01-11,618959AA-C96C-4906-8EFD-517E18EF965E,VZ Great Lakes KO Schaumburg AM,2016-01-13,2016-01-13,Corporate Internal,Closed Reg Event,343
2016-01-11,F47E0C1F-297C-4173-A3F0-D57E6214B51B,VZ Great Lakes KO Schaumburg PM,2016-01-13,2016-01-13,Corporate Internal,Closed Reg Event,279
2016-01-11,5B61DC42-B7CF-4F7A-BE97-8C977A6A8E30,XYMOGEN XPERIENCE Orlando 2016,2016-01-15,2016-01-17,Corporate External,Closed Reg Event,42
2016-01-18,7EA10BBE-516C-46F3-A0ED-E55754BF3BC2,2016 Americas Sales Conference,2016-01-18,2016-01-20,Corporate Internal,Closed Reg Event,152
2016-01-18,DD5DE885-23B5-4634-8030-A6254DAA0843,2016 Global Summit,2016-01-19,2016-01-22,Corporate Internal,Closed Reg Event,246
2016-01-18,F59360F3-3DBC-4447-B3DF-702EADEDEB66,2016 LexisNexis Risk Solutions Sales Meeting,2016-01-19,2016-01-22,Corporate Internal,Closed Reg Event,489
2016-01-18,FE611DFD-44C6-4C75-9FB7-E2BA08E8909D,2016 Primerus/ACC Legal Seminar (Spain),2016-01-21,2016-01-22,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,43
2016-01-18,0DD4E682-0D40-43E3-9BA5-2AFBAE712C86,2016 Surgical National Sales Meeting,2016-01-24,2016-01-29,Expo (<2:1 session:exhibitor ratio),Closed Reg Event,249
2016-01-18,CAC2296F-A488-4696-A4A8-7B7E39B0A584,2016 US Pulse,2016-01-24,2016-01-26,Corporate Internal,Open Reg Event,224
2016-01-18,EC36E214-F37B-4486-8F78-E29254546400,ABA Insurance Risk Management Forum,2016-01-24,2016-01-27,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,136
2016-01-18,FBB4FD56-2B96-4773-8859-AF13AE2519F7,BAM 2016,2016-01-21,2016-01-21,Corporate Internal,Closed Reg Event,5450
2016-01-18,C880731B-7799-4730-BAB0-62BA28D1C7FE,Bankenapéro Basel 2016,2016-01-21,2016-01-21,Corporate External,Closed Reg Event,25
2016-01-18,E4FF6EF5-B968-4356-9407-959FE504D6CA,Bankenapéro Bern 2016,2016-01-21,2016-01-21,Corporate External,Closed Reg Event,52
2016-01-18,93B2AB77-83EE-4636-95BB-F4CA4E7BF4C9,Bankenapéro Luzern 2016,2016-01-19,2016-01-19,Corporate Internal,Closed Reg Event,35
2016-01-18,89D35441-387B-41AE-B9AF-71240D2972BB,Beacon National Leadership Meeting,2016-01-21,2016-01-23,Corporate External,Closed Reg Event,373
2016-01-18,E93901CF-8164-4446-A7A3-0B45FCD8FCDF,BlackRock Investment Conference,2016-01-21,2016-01-21,Corporate Internal,Closed Reg Event,38
2016-01-18,7F797C32-E4AE-4859-A05A-26B943BEDCBA,CAPDM Executive Conference,2016-01-18,2016-01-19,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,29
2016-01-18,E086F8DE-AB93-45F4-B44E-0A17F8B13B7D,Cat Financial 2016 North America Sales Conference,2016-01-24,2016-01-29,Corporate Internal,Closed Reg Event,131
2016-01-18,01D4066C-D74D-4B96-ADFD-9797FEFCE0C6,CIBC 19th Annual Whistler Conference,2016-01-20,2016-01-23,Corporate External,Open Reg Event,294
2016-01-18,63DD3E43-6645-4C82-A2E2-16D8C2410A73,CIT Americas 2016,2016-01-18,2016-01-21,Corporate Internal,Closed Reg Event,651
2016-01-18,E5DF527C-A57E-4221-AF66-349DB70AC353,DesignCon 2016,2016-01-19,2016-01-21,Conference (>2:1 session:exhibitor ratio),Open Reg Event,663
2016-01-18,59C91E36-FC29-44BA-B4BE-52A7DFB0CCA2,Digital Storytelling,2016-01-21,2016-01-24,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,117
2016-01-18,B93649AF-318F-444E-87AD-DD48C642DCAE,EMEA Sales Conference 2016,2016-01-18,2016-01-22,Corporate Internal,Closed Reg Event,668
2016-01-18,CF292A91-C6FB-4D2A-8D1B-5B618F61F036,ETF.com Events,2016-01-24,2016-01-27,Conference (>2:1 session:exhibitor ratio),Open Reg Event,1325
2016-01-18,1E2DB3E5-E997-4640-8442-777E55385FC0,Fidelity CEO Conference,2016-01-19,2016-01-20,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,3
2016-01-18,34D2032B-FA2F-454F-B1D1-29BB1B6C8FA5,FWD Group Marketing Kick Off 2016,2016-01-20,2016-01-22,Corporate Internal,Closed Reg Event,38
2016-01-18,BA093762-4C21-4837-9C54-8B54996F6473,Hyatt Games HOUSTON,2016-01-20,2016-01-21,_Unknown,Open Reg Event,34
